17	72	97	8	32	240
15	63	97	57	60	134
83	48	100	26	12	196
62	3	49	55	77	142
97	98	0	89	57	91
34	92	29	75	13	196
40	3	2	3	83	209
69	1	48	87	27	176
54	92	3	67	28	77
97	56	63	70	29	143
44	29	86	28	97	197
58	37	2	53	71	19
82	12	23	80	92	100
37	15	95	42	92	29
91	64	54	64	85	149
24	38	36	75	63	91
64	50	75	4	61	233
31	95	51	53	85	101
22	46	70	89	99	173
86	94	47	11	56	209
84	65	13	99	20	111
66	50	47	62	93	163
3	60	5	39	90	209
78	75	74	50	82	160
21	21	64	29	1	250
98	25	69	70	29	141
51	65	44	73	45	172
58	34	84	70	77	249
93	0	49	100	94	130
65	16	66	99	71	221
26	54	7	61	46	85
72	70	25	64	52	36
62	45	53	44	0	2
68	69	79	100	78	126
42	58	76	3	29	133
81	22	70	74	23	73
11	70	32	4	86	216
9	10	2	57	1	205
96	96	35	31	34	95
14	79	23	44	37	107
8	21	20	32	67	107
21	84	34	82	91	35
37	58	89	41	63	226
60	14	3	39	49	238
43	53	24	33	13	12
32	93	65	26	77	135
55	2	28	2	50	216
18	4	92	20	57	177
90	64	86	54	69	233
28	80	88	66	57	169
28	67	83	3	50	127
86	73	41	84	80	74
54	7	94	38	16	126
27	6	39	9	9	10
39	38	95	20	53	107
72	32	16	1	71	87
4	75	27	72	58	254
21	99	90	79	65	38
4	48	25	44	12	24
26	73	86	55	75	47
24	63	13	85	49	106
37	64	63	2	41	231
78	51	36	2	20	230
25	41	72	100	17	50
43	54	27	34	86	254
12	48	70	44	87	159
68	62	98	68	30	158
8	92	5	10	17	35
21	21	68	27	34	7
97	42	76	64	32	10
47	43	43	14	37	100
30	77	99	91	62	117
17	74	70	98	13	195
41	5	52	9	48	209
100	18	16	43	14	198
78	75	100	48	9	163
73	70	28	72	10	224
34	46	37	72	68	200
14	58	35	13	100	87
5	37	1	78	85	92
1	11	52	14	5	232
24	30	100	75	53	81
20	14	57	21	87	28
30	20	95	13	55	98
48	69	37	70	32	46
91	61	40	12	26	169
83	40	5	3	1	8
100	37	92	76	40	236
57	50	40	51	8	34
8	40	76	58	14	134
32	27	100	79	99	159
69	88	60	84	45	149
33	23	69	26	39	32
25	31	46	10	35	246
11	96	57	11	83	230
73	82	43	29	49	114
39	5	41	23	40	154
74	38	31	42	12	30
69	78	74	76	11	9
31	28	2	31	51	213
9	34	70	9	93	5
9	2	81	1	37	136
96	45	63	60	19	183
12	64	99	41	9	228
65	85	22	22	99	220
19	18	40	39	13	123
90	65	77	37	16	11
26	18	69	92	4	164
99	40	79	86	70	72
95	88	26	22	38	10
55	68	20	6	91	111
85	31	32	99	8	179
87	57	55	70	32	137
69	56	68	58	1	129
50	43	21	33	62	89
3	82	53	73	2	21
7	88	45	74	17	123
75	16	17	33	35	4
50	72	51	22	78	192
11	29	62	0	22	85
67	40	64	83	56	112
87	81	93	28	30	209
40	63	87	61	28	175
91	52	43	71	78	183
93	83	35	82	28	121
6	9	97	65	82	41
47	20	65	98	26	168
39	38	88	38	70	32
47	21	89	89	94	42
59	76	10	15	77	103
65	73	48	22	19	188
32	54	27	72	92	180
96	100	6	63	87	81
50	91	81	44	49	227
65	21	69	93	5	107
67	11	32	80	12	237
34	94	10	17	99	137
78	84	87	89	10	225
56	30	48	55	50	18
21	41	56	16	79	44
62	27	15	55	76	15
68	52	15	84	37	225
35	31	48	95	71	84
0	24	67	56	74	242
2	3	80	77	31	53
33	26	22	36	18	132
69	25	34	39	74	53
96	32	87	57	21	116
69	45	62	53	15	6
98	26	73	49	26	7
36	13	3	15	72	73
95	1	69	37	86	174
97	92	83	17	9	104
64	47	73	39	55	22
64	86	45	97	67	208
41	0	15	56	91	163
57	44	39	69	51	130
43	100	93	87	73	176
63	14	82	48	48	2
26	71	0	35	81	135
76	92	94	93	65	183
25	59	76	66	52	143
95	91	39	89	21	105
57	79	85	67	25	239
46	67	0	86	49	59
74	54	51	43	79	124
74	93	89	95	8	241
63	95	31	81	83	131
37	80	2	52	92	84
80	19	81	99	50	117
100	34	22	98	9	189
99	77	1	44	33	20
90	52	87	69	38	225
19	59	33	62	21	116
59	65	5	34	65	230
12	95	75	54	8	78
45	8	84	56	2	202
21	64	90	20	88	160
11	51	81	88	35	44
77	38	26	67	26	86
30	42	34	8	9	5
89	66	84	47	59	153
65	71	94	6	21	80
38	83	94	91	71	3
34	45	78	94	29	187
50	71	51	22	61	125
33	78	42	91	28	24
33	78	90	31	84	72
3	79	51	40	55	28
97	31	100	34	24	31
9	80	93	21	74	187
56	74	93	18	77	7
33	58	67	20	17	199
99	17	91	56	46	169
39	96	51	30	14	168
91	26	91	87	39	82
8	13	29	50	41	59
63	12	23	5	7	110
76	2	96	27	87	15
4	63	90	67	92	230
78	56	43	84	35	79
15	78	88	22	12	46
28	51	29	63	57	240
48	96	21	29	30	127
36	59	70	74	49	185
27	57	91	33	42	232
63	75	14	27	10	249
5	1	0	61	40	45
49	74	36	25	51	225
20	97	82	19	3	173
1	49	18	85	69	112
7	72	48	32	16	8
10	59	83	38	1	161
4	68	7	67	16	245
5	35	99	15	55	179
11	24	3	63	81	22
16	95	35	87	24	237
84	57	49	42	80	14
34	33	82	81	31	115
31	7	75	100	75	112
22	44	54	77	89	95
71	81	66	7	45	114
70	52	68	25	91	55
68	54	84	8	91	83
34	95	78	92	96	6
9	32	22	12	19	59
7	26	54	5	6	202
81	11	65	60	64	247
47	12	40	5	16	12
68	4	56	85	16	184
50	97	90	57	3	255
94	67	34	11	32	48
41	10	38	4	49	99
7	93	33	40	94	17
16	33	48	14	86	6
38	12	54	31	64	146
71	26	42	43	65	133
100	50	74	61	13	55
16	83	57	67	71	98
92	74	89	66	68	206
3	37	95	20	25	244
47	49	66	41	12	157
52	44	16	73	8	136
5	38	83	68	40	242
53	38	40	45	34	8
41	95	95	66	64	245
1	67	15	19	40	136
93	41	100	41	73	50
8	57	35	61	58	89
46	94	48	10	74	14
7	17	6	67	62	71
73	32	100	31	89	149
73	95	43	46	82	35
47	51	39	59	76	166
43	68	64	21	3	175
18	32	87	28	72	12
17	14	23	98	52	240
93	79	6	12	69	64
87	34	91	13	26	71
33	8	80	73	67	27
82	10	9	27	82	121
22	65	55	2	75	79
47	62	90	36	28	38
25	76	63	30	54	4
57	86	46	69	24	164
61	92	9	32	52	64
25	1	95	68	98	183
48	65	62	9	51	145
78	65	74	74	54	104
5	45	58	0	24	249
38	89	88	82	0	102
69	15	38	65	95	16
40	99	69	82	73	219
70	36	67	52	69	185
66	52	77	80	74	194
39	57	38	16	64	79
56	75	17	70	98	112
20	32	81	1	54	7
94	84	72	4	47	39
53	51	36	84	96	191
85	2	11	11	0	35
49	34	59	34	100	188
47	81	95	61	98	228
43	49	58	14	61	164
45	18	53	18	2	230
22	33	47	16	75	17
100	36	52	33	65	5
36	94	53	88	35	147
55	42	99	62	27	27
91	62	51	91	54	97
11	8	16	26	19	11
29	93	3	13	32	208
19	61	99	12	51	94
83	92	23	0	11	223
54	78	6	70	27	51
68	54	44	6	83	179
13	94	70	86	53	127
85	94	15	33	87	124
35	22	61	90	6	122
100	27	86	82	11	35
49	15	85	57	37	241
87	65	63	50	14	115
77	61	13	19	49	129
78	89	25	21	66	109
32	53	95	68	36	0
63	81	69	27	100	154
97	79	43	62	13	102
1	96	93	84	44	16
90	34	7	69	80	39
56	38	97	12	29	249
65	35	34	90	31	246
52	18	16	32	24	192
52	71	80	76	7	51
68	77	65	19	52	123
34	35	61	89	39	2
34	62	27	63	47	16
76	60	30	43	22	240
77	97	23	94	74	233
88	57	68	19	7	171
64	41	67	88	17	89
82	97	27	40	79	153
63	61	42	15	16	137
17	89	32	28	11	116
81	68	89	6	72	226
22	87	14	28	72	74
25	64	72	84	39	7
54	41	0	99	2	168
39	78	28	10	95	89
28	35	87	80	43	47
34	76	92	66	48	0
2	15	42	44	17	103
14	32	98	18	87	251
73	5	44	9	11	4
92	13	38	40	31	187
34	67	6	46	3	253
10	17	51	47	92	99
81	88	30	12	86	150
42	35	1	65	41	40
14	45	82	92	16	254
77	34	51	11	86	193
73	79	92	67	60	215
72	53	68	50	38	86
28	80	38	70	17	53
6	76	65	14	22	108
30	27	55	35	69	244
2	32	68	34	67	139
33	60	16	51	90	70
13	95	47	8	83	158
69	46	69	71	92	229
64	87	74	3	79	237
39	57	87	16	19	50
9	74	18	86	27	193
61	98	42	46	37	11
20	19	48	56	51	47
15	76	18	34	37	253
85	87	81	77	1	65
68	1	82	16	48	148
95	71	12	58	3	20
99	55	76	86	54	3
35	47	52	51	77	22
59	6	12	60	99	149
4	82	90	89	0	146
5	14	75	17	67	132
65	97	45	70	34	17
100	72	83	45	60	243
89	31	79	30	13	22
71	45	20	14	99	246
5	90	40	54	93	143
44	32	84	80	98	34
7	78	55	53	48	181
45	37	96	43	56	217
89	30	81	78	66	94
18	7	43	86	14	254
65	22	69	82	80	0
62	43	96	90	15	57
74	2	61	26	49	247
80	22	50	91	29	195
12	31	42	42	84	172
31	100	86	59	95	77
60	47	63	83	98	211
84	92	24	55	56	144
51	69	15	73	62	68
34	16	19	1	48	99
53	13	3	83	9	179
23	58	98	48	85	235
64	36	19	19	67	172
13	32	2	59	50	72
81	90	94	29	68	100
89	50	0	69	31	129
54	20	84	22	43	155
84	30	9	99	68	151
71	20	22	48	74	246
2	65	27	54	30	82
5	66	92	24	89	67
64	88	78	83	68	142
9	31	50	99	59	168
15	72	82	6	49	85
11	71	12	82	61	34
5	66	30	99	1	229
2	39	59	35	92	187
53	21	76	17	71	172
90	40	98	68	81	105
57	64	53	70	21	211
89	50	89	49	25	132
63	35	46	19	33	40
72	35	22	99	92	182
79	10	93	46	43	247
18	33	32	32	44	126
